cod;nome;ano;valor;;;;;;;;;;
11;RO;2002;615;;;;;;;;;;
25;PB;2002;607;;;;;;;;;;
21;MA;2002;606;;;;;;;;;;
42;SC;2002;585;;;;;;;;;;
28;SE;2002;556;;;;;;;;;;
13;AM;2002;513;;;;;;;;;;
22;PI;2002;308;;;;;;;;;;
24;RN;2002;299;;;;;;;;;;
16;AP;2002;181;;;;;;;;;;
17;TO;2002;170;;;;;;;;;;
12;AC;2002;151;;;;;;;;;;
14;RR;2002;122;;;;;;;;;;
35;SP;2001;15773;;;;;;;;;;
33;RJ;2001;7362;;;;;;;;;;
26;PE;2001;4710;;;;;;;;;;
31;MG;2001;2366;;;;;;;;;;
41;PR;2001;2052;;;;;;;;;;
43;RS;2001;1854;;;;;;;;;;
29;BA;2001;1622;;;;;;;;;;
32;ES;2001;1452;;;;;;;;;;
23;CE;2001;1284;;;;;;;;;;
52;GO;2001;1167;;;;;;;;;;
51;MT;2001;973;;;;;;;;;;
15;PA;2001;966;;;;;;;;;;
27;AL;2001;830;;;;;;;;;;
53;DF;2001;693;;;;;;;;;;
50;MS;2001;621;;;;;;;;;;
11;RO;2001;573;;;;;;;;;;
21;MA;2001;563;;;;;;;;;;
28;SE;2001;518;;;;;;;;;;
13;AM;2001;485;;;;;;;;;;
25;PB;2001;484;;;;;;;;;;
42;SC;2001;477;;;;;;;;;;
24;RN;2001;322;;;;;;;;;;
22;PI;2001;262;;;;;;;;;;
17;TO;2001;212;;;;;;;;;;
16;AP;2001;182;;;;;;;;;;
12;AC;2001;121;;;;;;;;;;
14;RR;2001;108;;;;;;;;;;
35;SP;2000;15591;;;;;;;;;;
33;RJ;2000;7350;;;;;;;;;;
26;PE;2000;4290;;;;;;;;;;
31;MG;2000;2109;;;;;;;;;;
41;PR;2000;1789;;;;;;;;;;
43;RS;2000;1668;;;;;;;;;;
32;ES;2000;1435;;;;;;;;;;
29;BA;2000;1242;;;;;;;;;;
23;CE;2000;1238;;;;;;;;;;
52;GO;2000;1085;;;;;;;;;;
51;MT;2000;990;;;;;;;;;;
15;PA;2000;806;;;;;;;;;;
27;AL;2000;727;;;;;;;;;;
53;DF;2000;687;;;;;;;;;;
50;MS;2000;651;;;;;;;;;;
13;AM;2000;552;;;;;;;;;;
25;PB;2000;507;;;;;;;;;;
11;RO;2000;466;;;;;;;;;;
42;SC;2000;433;;;;;;;;;;
28;SE;2000;410;;;;;;;;;;
21;MA;2000;352;;;;;;;;;;
24;RN;2000;257;;;;;;;;;;
22;PI;2000;230;;;;;;;;;;
17;TO;2000;176;;;;;;;;;;
16;AP;2000;156;;;;;;;;;;
14;RR;2000;130;;;;;;;;;;
12;AC;2000;106;;;;;;;;;;
35;SP;1999;15763;;;;;;;;;;
33;RJ;1999;7261;;;;;;;;;;
26;PE;1999;4217;;;;;;;;;;
41;PR;1999;1706;;;;;;;;;;
31;MG;1999;1596;;;;;;;;;;
43;RS;1999;1533;;;;;;;;;;
32;ES;1999;1524;;;;;;;;;;
23;CE;1999;1104;;;;;;;;;;
29;BA;1999;913;;;;;;;;;;
52;GO;1999;853;;;;;;;;;;
51;MT;1999;822;;;;;;;;;;
53;DF;1999;659;;;;;;;;;;
15;PA;1999;642;;;;;;;;;;
50;MS;1999;571;;;;;;;;;;
27;AL;1999;554;;;;;;;;;;
13;AM;1999;527;;;;;;;;;;
11;RO;1999;432;;;;;;;;;;
25;PB;1999;403;;;;;;;;;;
42;SC;1999;385;;;;;;;;;;
28;SE;1999;329;;;;;;;;;;
21;MA;1999;262;;;;;;;;;;
24;RN;1999;224;;;;;;;;;;
16;AP;1999;192;;;;;;;;;;
14;RR;1999;154;;;;;;;;;;
17;TO;1999;137;;;;;;;;;;
22;PI;1999;133;;;;;;;;;;
