cod;nome;ano;valor;;
16;AP;2004;157;;
17;TO;2004;180;;
21;MA;2004;679;;
22;PI;2004;301;;
23;CE;2004;1459;;
24;RN;2004;323;;
25;PB;2004;611;;
26;PE;2004;3898;;
28;SE;2004;424;;
29;BA;2004;2064;;
31;MG;2004;3913;;
32;ES;2004;1482;;
33;RJ;2004;7221;;
35;SP;2004;10474;;
41;PR;2004;2573;;
42;SC;2004;559;;
43;RS;2004;1787;;
50;MS;2004;601;;
51;MT;2004;754;;
52;GO;2004;1377;;
53;DF;2004;642;;
11;RO;2004;529;;
12;AC;2004;104;;
13;AM;2004;477;;
14;RR;2004;78;;
15;PA;2004;1426;;
16;AP;2004;157;;
17;TO;2004;180;;
21;MA;2004;679;;
22;PI;2004;301;;
23;CE;2004;1459;;
24;RN;2004;323;;
25;PB;2004;611;;
26;PE;2004;3898;;
27;AL;2004;960;;
28;SE;2004;424;;
29;BA;2004;2064;;
31;MG;2004;3913;;
32;ES;2004;1482;;
33;RJ;2004;7221;;
35;SP;2004;10474;;
41;PR;2004;2573;;
42;SC;2004;559;;
43;RS;2004;1787;;
50;MS;2004;601;;
51;MT;2004;754;;
52;GO;2004;1377;;
53;DF;2004;642;;
53;DF;2005;610;;
12;AC;2005;111;;
13;AM;2005;551;;
14;RR;2005;84;;
15;PA;2005;1797;;
16;AP;2005;181;;
17;TO;2005;169;;
21;MA;2005;877;;
22;PI;2005;328;;
23;CE;2005;1555;;
24;RN;2005;364;;
25;PB;2005;683;;
26;PE;2005;4048;;
27;AL;2005;1129;;
28;SE;2005;459;;
29;BA;2005;2669;;
31;MG;2005;3846;;
32;ES;2005;1453;;
33;RJ;2005;6885;;
35;SP;2005;8091;;
41;PR;2005;2738;;
42;SC;2005;564;;
43;RS;2005;1812;;
50;MS;2005;561;;
51;MT;2005;815;;
52;GO;2005;1334;;
11;RO;2005;506;;
53;DF;2005;610;;
52;GO;2005;1334;;
51;MT;2005;815;;
50;MS;2005;561;;
43;RS;2005;1812;;
42;SC;2005;564;;
41;PR;2005;2738;;
35;SP;2005;8091;;
33;RJ;2005;6885;;
32;ES;2005;1453;;
31;MG;2005;3846;;
29;BA;2005;2669;;
28;SE;2005;459;;
27;AL;2005;1129;;
26;PE;2005;4048;;
25;PB;2005;683;;
24;RN;2005;364;;
23;CE;2005;1555;;
22;PI;2005;328;;
21;MA;2005;877;;
17;TO;2005;169;;
16;AP;2005;181;;
15;PA;2005;1797;;
14;RR;2005;84;;
13;AM;2005;551;;
12;AC;2005;111;;
11;RO;2005;506;;
53;DF;2006;611;;
52;GO;2006;1364;;
51;MT;2006;825;;
50;MS;2006;627;;
43;RS;2006;1821;;
42;SC;2006;574;;
41;PR;2006;2839;;
35;SP;2006;7582;;
33;RJ;2006;6858;;
32;ES;2006;1578;;
31;MG;2006;3783;;
29;BA;2006;3065;;
28;SE;2006;545;;
27;AL;2006;1514;;
26;PE;2006;4162;;
25;PB;2006;762;;
24;RN;2006;413;;
23;CE;2006;1658;;
22;PI;2006;386;;
21;MA;2006;902;;
17;TO;2006;207;;
16;AP;2006;189;;
15;PA;2006;1930;;
14;RR;2006;96;;
13;AM;2006;646;;
12;AC;2006;143;;
11;RO;2006;531;;
11;RO;2006;531;;
