cod;nome;ano;valor;;
27;AL;2008;83;;
28;SE;2008;30;;
29;BA;2008;315;;
31;MG;2008;377;;
32;ES;2008;190;;
33;RJ;2008;373;;
35;SP;2008;667;;
41;PR;2008;306;;
42;SC;2008;86;;
43;RS;2008;219;;
50;MS;2008;60;;
51;MT;2008;86;;
52;GO;2008;160;;
53;DF;2008;64;;
11;RO;2008;39;;
11;RO;2008;39;;
53;DF;2008;64;;
52;GO;2008;160;;
51;MT;2008;86;;
50;MS;2008;60;;
43;RS;2008;219;;
42;SC;2008;86;;
41;PR;2008;306;;
35;SP;2008;667;;
33;RJ;2008;373;;
32;ES;2008;190;;
31;MG;2008;377;;
29;BA;2008;315;;
28;SE;2008;30;;
27;AL;2008;83;;
26;PE;2008;298;;
25;PB;2008;87;;
24;RN;2008;59;;
23;CE;2008;117;;
22;PI;2008;38;;
21;MA;2008;81;;
17;TO;2008;21;;
16;AP;2008;13;;
15;PA;2008;169;;
14;RR;2008;15;;
13;AM;2008;63;;
12;AC;2008;13;;
53;DF;2009;76;;
52;GO;2009;165;;
51;MT;2009;94;;
50;MS;2009;65;;
43;RS;2009;225;;
42;SC;2009;93;;
41;PR;2009;331;;
35;SP;2009;660;;
33;RJ;2009;350;;
32;ES;2009;216;;
31;MG;2009;402;;
29;BA;2009;345;;
28;SE;2009;36;;
27;AL;2009;111;;
26;PE;2009;304;;
25;PB;2009;98;;
24;RN;2009;57;;
23;CE;2009;138;;
22;PI;2009;31;;
21;MA;2009;87;;
17;TO;2009;31;;
16;AP;2009;12;;
15;PA;2009;180;;
14;RR;2009;24;;
13;AM;2009;67;;
12;AC;2009;16;;
11;RO;2009;51;;
53;DF;2009;76;;
52;GO;2009;165;;
51;MT;2009;94;;
50;MS;2009;65;;
43;RS;2009;225;;
42;SC;2009;93;;
41;PR;2009;331;;
35;SP;2009;660;;
33;RJ;2009;350;;
32;ES;2009;216;;
31;MG;2009;402;;
29;BA;2009;345;;
28;SE;2009;36;;
27;AL;2009;111;;
26;PE;2009;304;;
25;PB;2009;98;;
24;RN;2009;57;;
23;CE;2009;138;;
22;PI;2009;31;;
21;MA;2009;87;;
17;TO;2009;31;;
16;AP;2009;12;;
15;PA;2009;180;;
14;RR;2009;24;;
13;AM;2009;67;;
12;AC;2009;16;;
11;RO;2009;51;;
